Group,KCl,Time
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.333333
Syt-1,56,5.5
Syt-1,56,5.5
Syt-1,56,5.5
Syt-1,56,5.5
Syt-1,56,5.5
Syt-1,56,5.5
Syt-1,56,5.5
Syt-1,56,5.5
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.666667
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,5.833333
Syt-1,56,6
Syt-1,56,6
Syt-1,56,6
Syt-1,56,6
Syt-1,56,6
Syt-1,56,6
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.166667
Syt-1,56,6.333333
Syt-1,56,6.333333
Syt-1,56,6.333333
Syt-1,56,6.333333
Syt-1,56,6.333333
Syt-1,56,6.333333
Syt-1,56,6.333333
Syt-1,56,6.333333
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.5
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.666667
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,6.833333
Syt-1,56,7
Syt-1,56,7
Syt-1,56,7
Syt-1,56,7
Syt-1,56,7
Syt-1,56,7
Syt-1,56,7
Syt-1,56,7
Syt-1,56,7
Syt-1,56,7.166667
Syt-1,56,7.166667
Syt-1,56,7.166667
Syt-1,56,7.166667
Syt-1,56,7.333333
Syt-1,56,7.333333
Syt-1,56,7.333333
Syt-1,56,7.333333
Syt-1,56,7.333333
Syt-1,56,7.333333
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.5
Syt-1,56,7.666667
Syt-1,56,7.833333
Syt-1,56,7.833333
Syt-1,56,7.833333
Syt-1,56,7.833333
Syt-1,56,7.833333
Syt-1,56,7.833333
Syt-1,56,7.833333
Syt-1,56,8
Syt-1,56,8
Syt-1,56,8
Syt-1,56,8
Syt-1,56,8
Syt-1,56,8
Syt-1,56,8
Syt-1,56,8
Syt-1,56,8
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.166667
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.333333
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.5
Syt-1,56,8.666667
Syt-1,56,8.666667
Syt-1,56,8.666667
Syt-1,56,8.666667
Syt-1,56,8.666667
Syt-1,56,8.833333
Syt-1,56,8.833333
Syt-1,56,8.833333
Syt-1,56,8.833333
Syt-1,56,8.833333
Syt-1,56,8.833333
Syt-1,56,8.833333
Syt-1,56,8.833333
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.166667
Syt-1,56,9.333333
Syt-1,56,9.333333
Syt-1,56,9.333333
Syt-1,56,9.333333
Syt-1,56,9.5
Syt-1,56,9.5
Syt-1,56,9.5
Syt-1,56,9.5
Syt-1,56,9.5
Syt-1,56,9.5
Syt-1,56,9.5
Syt-1,56,9.5
Syt-1,56,9.5
Syt-1,56,9.666667
Syt-1,56,9.666667
Syt-1,56,9.666667
Syt-1,56,9.666667
Syt-1,56,9.666667
Syt-1,56,9.666667
Syt-1,56,9.666667
Syt-1,56,9.833333
Syt-1,56,9.833333
Syt-1,56,9.833333
Syt-1,56,9.833333
Syt-1,56,9.833333
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10
Syt-1,56,10.16667
Syt-1,56,10.16667
Syt-1,56,10.16667
Syt-1,56,10.16667
Syt-1,56,10.16667
Syt-1,56,10.33333
Syt-1,56,10.33333
Syt-1,56,10.33333
Syt-1,56,10.5
Syt-1,56,10.5
Syt-1,56,10.66667
Syt-1,56,10.66667
Syt-1,56,10.66667
Syt-1,56,10.66667
Syt-1,56,10.83333
Syt-1,56,10.83333
Syt-1,56,10.83333
Syt-1,56,10.83333
Syt-1,56,10.83333
Syt-1,56,10.83333
Syt-1,56,11
Syt-1,56,11
Syt-1,56,11.16667
Syt-1,56,11.16667
Syt-1,56,11.16667
Syt-1,56,11.16667
Syt-1,56,11.16667
Syt-1,56,11.33333
Syt-1,56,11.33333
Syt-1,56,11.33333
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.5
Syt-1,56,11.83333
Syt-1,56,11.83333
Syt-1,56,11.83333
Syt-1,56,11.83333
Syt-1,56,12
Syt-1,56,12
Syt-1,56,12.16667
Syt-1,56,12.16667
Syt-1,56,12.16667
Syt-1,56,12.16667
Syt-1,56,12.33333
Syt-1,56,12.33333
Syt-1,56,12.33333
Syt-1,56,12.33333
Syt-1,56,12.5
Syt-1,56,12.5
Syt-1,56,12.5
