Group,Conc,time
Syt-1,100,13.5
Syt-1,100,13.5
Syt-1,100,13.5
Syt-1,100,13.66666667
Syt-1,100,13.66666667
Syt-1,100,13.66666667
Syt-1,100,13.66666667
Syt-1,100,13.83333333
Syt-1,100,13.83333333
Syt-1,100,13.83333333
Syt-1,100,13.83333333
Syt-1,100,13.83333333
Syt-7,100,4.5
Syt-7,100,4.5
Syt-7,100,4.666666667
Syt-7,100,4.833333333
Syt-7,100,5.333333333
Syt-7,100,5.333333333
Syt-7,100,5.333333333
Syt-7,100,5.5
Syt-7,100,5.5
Syt-7,100,5.666666667
Syt-7,100,5.666666667
Syt-7,100,5.666666667
Syt-7,100,6
Syt-7,100,6.166666667
Syt-7,100,7.666666667
Syt-7,100,7.833333333
Syt-7,100,7.833333333
Syt-7,100,9.166666667
Syt-7,100,9.166666667
Syt-7,100,10.5
Syt-7,100,11
Syt-7,100,0.166666667
Syt-7,100,0.333333333
Syt-7,100,0.333333333
Syt-7,100,1.166666667
Syt-7,100,1.166666667
Syt-7,100,1.166666667
Syt-7,100,1.333333333
Syt-7,100,1.333333333
Syt-7,100,2
Syt-7,100,2.166666667
Syt-7,100,2.333333333
Syt-7,100,2.833333333
Syt-7,100,3.333333333
Syt-7,100,3.333333333
Syt-7,100,3.833333333
Syt-7,100,3.833333333
Syt-7,100,4.166666667
Syt-7,100,4.333333333
Syt-7,100,4.333333333
Syt-7,100,4.333333333
Syt-7,100,4.333333333
Syt-7,100,11.5
Syt-7,100,16.33333333
Syt-7,100,11.66666667
Syt-7,100,11.66666667
Syt-7,100,12.33333333
Syt-7,100,13
Syt-7,100,14.33333333
Syt-7,100,18.16666667
Syt-7,100,4.666666667
Syt-7,100,4.666666667
Syt-7,100,4.666666667
Syt-7,100,4.666666667
Syt-7,100,4.666666667
Syt-7,100,4.666666667
Syt-7,100,4.666666667
Syt-7,100,4.666666667
Syt-7,100,4.833333333
Syt-7,100,4.833333333
Syt-7,100,4.833333333
Syt-7,100,4.833333333
Syt-7,100,4.833333333
Syt-7,100,5
Syt-7,100,5
Syt-7,100,5
Syt-7,100,5
Syt-7,100,5
Syt-7,100,5
Syt-7,100,5
Syt-7,100,5.166666667
Syt-7,100,5.166666667
Syt-7,100,5.166666667
Syt-7,100,5.166666667
Syt-7,100,5.166666667
Syt-7,100,5.166666667
Syt-7,100,5.166666667
Syt-7,100,5.333333333
Syt-7,100,5.333333333
Syt-7,100,5.333333333
Syt-7,100,5.333333333
Syt-7,100,5.5
Syt-7,100,5.5
Syt-7,100,5.666666667
Syt-7,100,5.666666667
Syt-7,100,5.833333333
Syt-7,100,5.833333333
Syt-7,100,6
Syt-7,100,6
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.5
Syt-7,100,6.5
Syt-7,100,0.333333333
Syt-7,100,1.333333333
Syt-7,100,2.166666667
Syt-7,100,3.333333333
Syt-7,100,4.5
Syt-7,100,4.833333333
Syt-7,100,9.166666667
Syt-7,100,5.833333333
Syt-7,100,6.333333333
Syt-7,100,5.5
Syt-7,100,8.666666667
Syt-7,100,6.833333333
Syt-7,100,6.5
Syt-7,100,6
Syt-7,100,5.5
Syt-7,100,7.666666667
Syt-7,100,10
Syt-7,100,5.5
Syt-7,100,5.5
Syt-7,100,5.666666667
Syt-7,100,6
Syt-7,100,6
Syt-7,100,6.166666667
Syt-7,100,6.166666667
Syt-7,100,6.166666667
Syt-7,100,6.166666667
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.5
Syt-7,100,6.5
Syt-7,100,6.5
Syt-7,100,6.666666667
Syt-7,100,6.666666667
Syt-7,100,6.666666667
Syt-7,100,6.833333333
Syt-7,100,6.833333333
Syt-7,100,6.833333333
Syt-7,100,7.5
Syt-7,100,7.5
Syt-7,100,7.666666667
Syt-7,100,7.666666667
Syt-7,100,8
Syt-7,100,8
Syt-7,100,8
Syt-7,100,8
Syt-7,100,8.166666667
Syt-7,100,8.333333333
Syt-7,100,8.333333333
Syt-7,100,9
Syt-7,100,9
Syt-7,100,9
Syt-7,100,9.166666667
Syt-7,100,9.5
Syt-7,100,9.666666667
Syt-7,100,10
Syt-7,100,10
Syt-7,100,10.33333333
Syt-7,100,10.5
Syt-7,100,10.5
Syt-7,100,10.83333333
Syt-7,100,11.5
Syt-7,100,11.5
Syt-7,100,11.66666667
Syt-7,100,12.5
Syt-7,100,12.5
Syt-7,100,12.5
Syt-7,100,13.5
Syt-7,100,16
Syt-7,100,18.66666667
Syt-7,100,2.5
Syt-7,100,19.5
Syt-7,100,3.5
Syt-7,100,4
Syt-7,100,4.833333333
Syt-7,100,5.333333333
Syt-7,100,6.666666667
Syt-7,100,15.83333333
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.333333333
Syt-7,100,6.5
Syt-7,100,6.5
Syt-7,100,6.5
Syt-7,100,6.5
Syt-7,100,6.5
Syt-7,100,6.666666667
Syt-7,100,6.666666667
Syt-7,100,6.666666667
Syt-7,100,6.833333333
Syt-7,100,6.833333333
Syt-7,100,7.333333333
Syt-7,100,7.333333333
Syt-7,100,7.5
Syt-7,100,7.5
Syt-7,100,7.5
Syt-7,100,7.666666667
Syt-7,100,7.833333333
Syt-7,100,8
Syt-7,100,8
Syt-7,100,8.333333333
Syt-7,100,8.333333333
Syt-7,100,8.333333333
Syt-7,100,8.666666667
Syt-7,100,9.166666667
Syt-7,100,9.166666667
Syt-7,100,9.5
Syt-7,100,9.666666667
Syt-7,100,9.833333333
Syt-7,100,9.833333333
Syt-7,100,10.66666667
Syt-7,100,10.66666667
Syt-7,100,10.66666667
Syt-7,100,10.83333333
Syt-7,100,11.16666667
Syt-7,100,11.83333333
Syt-7,100,12.33333333
Syt-7,100,12.33333333
Syt-7,100,12.33333333
Syt-7,100,12.5
Syt-7,100,12.5
Syt-7,100,12.66666667
Syt-7,100,13
Syt-7,100,13.33333333
Syt-7,100,13.66666667
Syt-7,100,14.5
Syt-7,100,15.66666667
Syt-7,100,16.33333333
Syt-7,100,16.33333333
Syt-7,100,18.16666667
Syt-7,100,18.83333333
Syt-7,100,18.83333333
Syt-7,100,18.83333333
Syt-7,100,19.16666667
Syt-7,100,20.66666667
Syt-7,100,0.833333333
Syt-7,100,0.666666667
Syt-7,100,1.5
Syt-7,100,1
