Group,Conc,Latency
Syt-1,10,13.5
Syt-1,10,13.5
Syt-1,10,13.66667
Syt-1,10,13.66667
Syt-1,10,13.66667
Syt-1,10,13.83333
Syt-1,10,13.83333
Syt-1,10,13.83333
Syt-1,10,13.83333
Syt-1,10,13.83333
Syt-1,10,14
Syt-1,10,14
Syt-1,10,14
Syt-1,10,14.16667
Syt-1,10,14.16667
Syt-1,10,14.16667
Syt-1,10,14.33333
Syt-1,10,14.33333
Syt-1,10,14.33333
Syt-1,10,14.33333
Syt-1,10,14.5
Syt-1,10,14.5
Syt-1,10,14.5
Syt-1,10,14.5
Syt-1,10,14.66667
Syt-1,10,14.66667
Syt-1,10,14.66667
Syt-1,10,14.83333
Syt-1,10,14.83333
Syt-1,10,15
Syt-1,10,15
Syt-1,10,15
Syt-1,10,15.16667
Syt-1,10,15.16667
Syt-1,10,15.16667
Syt-1,10,15.33333
Syt-1,10,15.5
Syt-1,10,15.66667
Syt-1,10,15.83333
Syt-1,10,15.83333
Syt-1,10,16
Syt-1,10,16.33333
Syt-1,10,16.5
Syt-1,10,16.5
Syt-1,10,17.5
Syt-1,10,17.5
Syt-1,10,17.5
Syt-1,10,17.5
Syt-1,10,18.33333
Syt-1,10,18.33333
Syt-1,10,18.66667
Syt-1,10,19
Syt-1,10,19
Syt-1,10,19
Syt-1,10,19.16667
Syt-1,10,23.66667
Syt-1,10,10.83333
Syt-1,10,10.33333
Syt-1,10,17.5
Syt-1,10,18.33333
Syt-1,10,26.33333
Syt-1,10,27.33333
Syt-1,10,16.33333
Syt-1,10,21.33333
Syt-1,10,13
Syt-1,10,13.33333
Syt-1,10,20.16667
Syt-1,10,39.6
Syt-1,10,39.6
Syt-1,10,41
Syt-1,10,42
Syt-1,10,43
Syt-1,10,44.3
Syt-1,10,44.5
Syt-1,10,44.5
Syt-1,10,44.8
Syt-1,10,45.3
Syt-1,10,45.3
Syt-1,10,45.3
Syt-1,10,46.16
Syt-1,10,46.5
Syt-1,10,48.3
Syt-1,10,48.6
Syt-1,10,21.16
Syt-1,10,28.16
Syt-1,10,28.33
Syt-1,10,33.83
Syt-1,10,34
Syt-1,10,34.33
Syt-1,10,34.33
Syt-1,10,34.5
Syt-1,10,34.5
Syt-1,10,35
Syt-1,10,35.16
Syt-1,10,35.33
Syt-1,10,35.33
Syt-1,10,35.33
Syt-1,10,35.83
Syt-1,10,36.16
Syt-1,10,37.83
Syt-1,10,38.16
Syt-1,10,38
Syt-1,10,38.66
Syt-1,10,39.16
Syt-1,10,39.16
Syt-1,10,39.66
Syt-1,10,39
Syt-1,10,40.83
Syt-1,10,40.83
Syt-1,10,41.33
Syt-1,10,50
Syt-1,10,53.83
